Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp1,MaSp2,MaSp2B,MaSp3,MaSp3B,Spidroin,sp.,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,Cluster
272,7305-W1_S12,7305.0,DRR168620,livida,Nephilingis,Araneidae,18.470074708058352,16.99366280100834,7.507794640198696,13.136487474528574,13.13339884468862,12.04428631759467,11.821041029071274,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,25.0,0.131,0.049,9.93,2.82,1.55,0.16,15.7,4.2,231.0,289.0,307.0,24.0,52.9,3.7,3.51,0.14,5.3,,,3.0
273,7306-W1_S13,7306.0,DRR168621,livida,Nephilingis,Araneidae,18.79757090261964,18.477244088434052,7.7615515076867325,13.358385370557938,13.356185734311117,12.11463705452233,11.858731375882767,Nephilingis,livida,2511332.0,urn:lsid:nmbe.ch:spidersp:043939,Unknown,Female,2018-10-25,Madagascar,23.0,0.095,0.032,6.7,0.29,0.53,0.08,25.3,5.1,240.0,290.0,308.0,34.0,50.8,1.9,2.63,0.05,5.6,20.8,4.9,3.0
274,7320-W1_S10,7320.0,DRR168629,-,Cyrtophora,Araneidae,13.933553347419318,10.832221041011836,7.189824558880018,6.317462358588015,5.994416345273834,8.136468576111614,20.232509617945983,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,8.0,0.303,0.059,9.28,2.01,1.47,0.01,35.6,8.3,,,,33.0,51.8,2.8,1.2,0.03,,,,0.0
275,7322-W1_S1,7322.0,DRR168625,-,Cyrtophora,Araneidae,13.92464119286577,10.81644187289401,6.954196310386875,6.828925639943476,6.080810493953309,7.87212641957255,21.28294711195016,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,10.0,0.18,0.074,16.1,2.38,1.68,0.1,17.6,6.1,243.0,299.0,319.0,43.0,53.6,4.5,1.73,0.08,4.7,7.8,2.9,0.0
276,7324-W1_S11,7324.0,DRR168630,-,Cyrtophora,Araneidae,13.344337975430268,11.077539262986352,7.475733430966398,6.247927513443585,5.857980995127572,6.941626253183253,20.012147491568985,Cyrtophora,sp. (OTU0410),2511309.0,,Unknown,Female,2018-10-25,Madagascar,10.0,0.165,0.042,16.1,1.7,1.54,0.13,16.9,2.5,239.0,284.0,304.0,42.0,53.8,3.9,1.92,0.08,4.6,6.0,2.3,0.0
277,7354-W1_S12,7354.0,DRR168632,-,Gasteracantha,Araneidae,13.780904814892128,17.66228736075528,15.611454845600326,11.278087153400524,6.7463163946591695,14.660422991472029,20.68627375041031,Gasteracantha,sp. (OTU0635),2511311.0,,Unknown,Female,2018-10-25,Madagascar,,0.223,0.058,10.2,1.18,1.3,0.05,26.3,6.8,235.0,284.0,304.0,22.0,42.3,5.4,1.78,0.14,5.8,37.6,4.0,0.0
279,7389-W1_S5,7389.0,DRR168643,-,-,Araneidae,14.13788385128306,13.909141301586926,8.12458662228021,8.075928333987237,7.628146580563919,11.317253937633728,21.40688447839696,Gen.,sp. (OTU0673),2511324.0,,Unknown,Female,2018-10-26,Madagascar,12.0,0.144,0.07,12.9,1.65,1.57,0.25,17.7,5.6,232.0,286.0,305.0,25.0,38.7,2.6,2.25,0.07,6.3,45.0,4.5,0.0
280,7392-W1_S21,7392.0,DRR168645,-,-,Araneidae,14.252255255798568,14.272635912397766,8.600112686227755,8.948104952380039,8.070980668208339,11.8651256199918,21.288206856821912,Gen.,sp. (OTU0673),2511324.0,,Unknown,Female,2018-10-26,Madagascar,13.0,0.176,0.035,11.1,1.41,1.64,0.23,21.5,1.1,,,,,40.2,2.7,1.47,0.03,,,,0.0
282,7416-W1_S13,7416.0,DRR168635,-,Cyrtophora,Araneidae,15.090726444200016,11.542119644895646,6.94251450533924,7.290395742107925,7.061137750172229,8.745093316044183,21.64667652966988,Cyrtophora,sp. (OTU0804),2511314.0,,Unknown,Female,2018-10-27,Madagascar,15.0,0.142,0.049,14.0,2.25,1.63,0.05,16.5,6.1,222.0,293.0,317.0,28.0,54.3,2.7,2.49,0.06,3.6,,,0.0
283,7421-W1_S15,7421.0,DRR168623,extrusa,Caerostris,Araneidae,18.80302255402076,18.70273565107979,16.331774012423132,6.599912842187128,6.507794640198696,16.328388777015117,15.68077408623756,Caerostris,extrusa,172846.0,urn:lsid:nmbe.ch:spidersp:015477,Unknown,Female,2018-10-27,Madagascar,8.0,0.172,0.076,8.91,1.29,1.31,0.19,23.5,5.5,,,,23.0,45.3,2.1,1.45,0.04,,35.2,11.1,3.0
284,7426-W1_S6,7426.0,DRR168628,-,Acrosomoides,Araneidae,13.88814665356028,15.791845301294725,13.047342899123018,11.631631810464423,7.417852514885898,13.45812632187032,19.125547603871848,Acrosomoides,sp. (OTU0988),2511307.0,,Unknown,Female,2018-10-27,Madagascar,6.0,0.146,0.041,9.02,0.88,1.02,0.13,26.1,5.2,,,,25.0,33.6,2.0,2.23,0.04,,39.3,5.3,5.0
285,7439-W1_S16,7439.0,DRR168624,darwini,Caerostris,Araneidae,19.427562167042623,18.42877702942272,17.108083196512922,7.115458420645751,6.984872530075879,12.515837783854897,14.283276437261549,Caerostris,darwini,1538125.0,urn:lsid:nmbe.ch:spidersp:043500,Unknown,Female,2018-10-29,Madagascar,12.0,0.229,0.033,11.7,1.25,1.46,0.1,25.2,3.4,199.0,268.0,290.0,31.0,42.5,1.2,3.44,0.03,7.1,43.9,4.4,3.0
286,7441-W1_S4,7441.0,DRR168617,inaurata,Trichonephila,Araneidae,17.6646507892357,18.1417639432924,7.807354922057604,11.65388270166372,11.644900402344494,13.56237968602138,12.316639443916957,Trichonephila,inaurata,222470.0,urn:lsid:nmbe.ch:spidersp:013953,Unknown,Female,2018-10-29,Madagascar,38.0,0.166,0.022,11.1,2.15,1.35,0.18,21.1,1.3,235.0,285.0,304.0,24.0,47.5,9.7,6.69,0.63,5.8,43.3,3.6,3.0
